lightdm-gtk-greeter 1:2.0.9-1
lightdm-slick-greeter 2.0.9-1
lilv 0.24.24-3
linkerd 2.13.4-1
linux 6.13.1.arch1-1
linux-api-headers 6.10-1
linux-firmware 20250109.7673dffd-1
linux-firmware-whence 20250109.7673dffd-1
linux-headers 6.13.1.arch1-1
lld 19.1.7-1
llhttp 9.2.1-2
llvm 19.1.7-1
llvm-libs 19.1.7-1
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.33-1
lua 5.4.7-1
lua51-lpeg 1.1.0-3
lua52 5.2.4-7
luajit 2.1.1736781742-1
luit 20240910-1
lv2 1.18.10-1
lvm2 2.03.30-1
lxappearance-gtk3 0.6.3-5
lxmenu-data 0.1.5-4
lynx 2.9.2-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.19-3
macchanger 1.7.0-6
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.0-1
mariadb-clients 11.6.2-2
mariadb-libs 11.6.2-2
marp-cli-bin 4.0.3-1
matcha-gtk-theme 2024.05.01-1
maven 3.9.9-1
mbedtls2 2.28.9-1
mc 4.8.33-1
md4c 0.5.2-1
mdadm 4.4-1
mdcat 2.7.1-1
menu-cache 1.1.0-5
mesa 1:24.3.4-1
mesa-demos 9.0.0-5
mesa-utils 9.0.0-5
microsoft-edge-beta-bin 132.0.2957.26-1
miniupnpc 2.3.0-1
minizip 1:1.3.1-2
mjpegtools 2.2.1-2
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20240407-1
mokutil 0.7.2-2
mongodb-tools-bin-debug 100.10.0-2
mpdecimal 4.0.0-2
mpfr 4.2.1-5
mpg123 1.32.10-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mypaint-brushes1 1.3.1-2
nasm 2.16.03-1
ncurses 6.5-3
ndctl 79-1
neofetch 7.1.0-2
neon 0.34.0-1
neovim 0.10.4-1
net-snmp 5.9.4-6
net-tools 2.10-3
netpbm 10.86.44-1
nettle 3.10.1-1
networkmanager 1.50.2-1
networkmanager-dmenu-git r191.0230e2d-1
ninja 1.12.1-2
nitrogen 1.6.1-6
nm-connection-editor 1.36.0-1
nmap 7.95-1
nnn 5.0-1
node-gyp 11.0.0-1
nodejs 23.7.0-1
nodejs-nopt 7.2.1-1
nodenv 1.4.0-1
notmuch-runtime 0.38.3-5
noto-fonts-emoji 1:2.047-1
npm 11.1.0-2
npth 1.8-1
nspr 4.36-1
nss 3.107-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-1
ntp 4.2.8.p18-2
numactl 2.0.19-1
nvidia-dkms 570.86.16-2
nvidia-prime 1.0-5
nvidia-settings 570.86.16-1
nvidia-utils 570.86.16-2
nvim-packer-git r574.ea0cc3c-1
nvim-treesitter-parsers-git r1317.8b9f9966-1
ocl-icd 2.3.2-2
ollama 0.5.7-1
ollama-cuda 0.5.7-1
onetbb 2022.0.0-2
oniguruma 6.9.10-1
onlyoffice-bin 8.2.2-1
openal 1.24.2-1
opencl-nvidia 570.86.16-2
opencore-amr 0.1.6-2
opencv-cuda 4.11.0-1
openexr 3.3.2-1
openh264 2.5.0-1
openjpeg2 2.5.3-1
openmpi 5.0.6-2
openpmix 5.0.6-1
openssh 9.9p1-2
openssh-askpass 2.1.0-5
openssh-askpass-debug 2.1.0-5
openssl 3.4.0-1
openssl-1.0 1.0.2.u-6
openssl-1.1 1.1.1.w-2
openucx 1.18.0-1
openvpn 2.6.13-1
opus 1.5.2-1
orc 0.4.40-1
otf-droid-nerd 3.3.0-1
otf-ipafont 003.03-8
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-1
pacman-contrib 1.11.0-1
pacman-mirrorlist 20250101-1
pahole 1:1.28-3
pam 1.7.0-1
pambase 20230918-2
pango 1:1.56.1-1
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parted 3.6-2
patch 2.7.6-10
patchutils 0.4.2-3
pavucontrol 1:6.1-1
pciutils 3.13.0-2
pcmanfm 1.3.2-1
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.1-1
pdfmixtool 1.1.1-1
perl 5.40.1-1
perl-clone 0.47-1
perl-encode-locale 1.05-13
perl-error 0.17029-7
perl-file-listing 6.16-4
perl-html-parser 3.83-1
perl-html-tagset 3.24-2
perl-http-cookiejar 0.014-3
perl-http-cookies 6.11-2
perl-http-daemon 6.16-4
perl-http-date 6.06-3
perl-http-message 7.00-1
perl-http-negotiate 6.01-14
perl-io-html 1.004-6
perl-libwww 6.77-2
perl-lwp-mediatypes 6.04-6
perl-mailtools 2.22-1
perl-net-http 6.23-4
perl-timedate 2.33-7
perl-try-tiny 0.32-2
perl-uri 5.31-1
perl-www-robotrules 6.02-14
perl-xml-parser 2.47-2
perl-xml-writer 0.900-4
picard 2.12.3-2
picom 12.5-1
pinentry 1.3.1-5
pipewire 1:1.2.7-1
pipewire-audio 1:1.2.7-1
pipewire-pulse 1:1.2.7-1
pixman 0.44.2-1
pkcs11-helper 1.30.0-1
pkgconf 2.3.0-1
plocate 1.1.23-1
polkit 126-2
polybar 3.7.2-2
popeye 0.21.5-1
poppler 25.01.0-1
poppler-data 0.4.12-2
poppler-glib 25.01.0-1
popt 1.19-2
portainer-bin 2:2.20.0-1
portainer-bin-debug 2:2.20.0-1
portaudio 1:19.7.0-3
postman-bin 11.21.0-1
powertop 2.15-2
pqiv 2.13.2-4
procps-ng 4.0.5-2
procs 0.14.9-1
protobuf 29.2-1
prrte 3.0.8-1
psmisc 23.7-1
pstack 2.8.3-1
pstack-debug 2.8.3-1
psvimgtools-git 0.1.3.gf446c56-1
psvimgtools-git-debug 0.1.3.gf446c56-1
pugixml 1.15-1
pulseaudio-alsa 1:1.2.12-4
python 3.13.1-1
python-annotated-types 0.7.0-2
python-attrs 23.2.0-4
python-autocommand 2.2.2-7
python-build 1.2.2-3
python-cairo 1.27.0-2
python-cffi 1.17.1-2
python-chardet 5.2.0-6
python-charset-normalizer 3.4.1-1
python-clickgen 2.2.5-1
python-colorama 0.4.6-5
